c1, c2, w, penalty, epochs
0.670175,0.935928,1,0,600
intacia, melhor_gap, melhor_fit, gap_medio, fit_medio, fobj_medio, dp, tempo(ms)
data\OR30x250-0.75_2.dat, 5.15678, 142225, 8.68574, 136933, 136933, 1.48034, 26382
data\OR30x250-0.75_3.dat, 4.16713, 146631, 8.69167, 139708, 139708, 1.94488, 27469
data\OR30x250-0.75_4.dat, 4.80964, 145864, 8.95791, 139507, 139507, 1.80037, 27200
data\OR30x250-0.75_5.dat, 5.02306, 142738, 9.24391, 136395, 136395, 1.54303, 26313
data\OR30x250-0.75_6.dat, 4.80703, 141432, 8.74841, 135576, 135576, 1.58018, 26584
data\OR30x250-0.75_7.dat, 5.23743, 139753, 9.54133, 133406, 133406, 1.83941, 26138
data\OR30x250-0.75_8.dat, 3.64523, 147338, 8.89605, 139309, 139309, 1.80994, 26055
data\OR30x250-0.75_9.dat, 4.61256, 142671, 8.47946, 136887, 136887, 1.59448, 26326
data\OR30x500-0.25_1.dat, 14.5576, 99161, 17.901, 95280.9, 95280.9, 1.53897, 51454
data\OR30x500-0.25_10.dat, 13.6992, 101072, 18.0734, 95949.1, 95949.1, 1.71983, 51956
data\OR30x500-0.25_2.dat, 15.2583, 97292, 18.5413, 93522.7, 93522.7, 1.53081, 51285
data\OR30x500-0.25_3.dat, 15.1523, 99052, 18.0361, 95685.4, 95685.4, 1.32884, 53104
data\OR30x500-0.25_4.dat, 13.1023, 100240, 17.1946, 95519.3, 95519.3, 1.42588, 52896
data\OR30x500-0.25_5.dat, 12.6505, 101784, 17.7295, 95865.7, 95865.7, 1.47626, 50831
data\OR30x500-0.25_6.dat, 15.5157, 97783, 17.7593, 95186.2, 95186.2, 1.43091, 49681
data\OR30x500-0.25_7.dat, 16.4441, 95405, 18.1937, 93407.2, 93407.2, 1.02052, 50943
data\OR30x500-0.25_8.dat, 14.8108, 97459, 17.8751, 93953.3, 93953.3, 1.45715, 51518
data\OR30x500-0.25_9.dat, 13.8054, 99485, 18.2302, 94377.8, 94377.8, 1.44598, 51755
data\OR30x500-0.50_1.dat, 12.1437, 191618, 12.9466, 189867, 189867, 0.446601, 52566
data\OR30x500-0.50_10.dat, 12.0612, 188839, 12.9637, 186901, 186901, 0.358844, 54265
data\OR30x500-0.50_2.dat, 9.2696, 194751, 12.4723, 187876, 187876, 0.782633, 52426
