Sem restricao da velocidade, w dinamico. penalidade NAo dinamica.

c1, c2, w, penalty, epochs
0.601321,1.7986,1,329.594,600
intacia, melhor_gap, melhor_fit, gap_medio, fit_medio, fobj_medio, dp, tempo(ms)
data\OR5x250-0.25_6.dat, 9.35633, 54456, 14.9997, 51065.6, 51065.6, 2.03198, 20294
data\OR5x250-0.25_7.dat, 7.63896, 55799, 15.0115, 51345, 51345, 2.48368, 19943
data\OR5x250-0.25_8.dat, 11.711, 54273, 15.5499, 51913.2, 51913.2, 1.86015, 18623
data\OR5x250-0.25_9.dat, 9.92163, 55745, 16.6391, 51587.9, 51587.9, 2.41342, 19348
data\OR5x250-0.50_1.dat, 5.66406, 102929, 9.5909, 98644.5, 98644.5, 1.53008, 20441
data\OR5x250-0.50_10.dat, 8.03396, 98457, 10.1977, 96140.5, 96140.5, 1.03343, 20170
data\OR5x250-0.50_2.dat, 6.24721, 102979, 10.7587, 98023.5, 98023.5, 1.14696, 20537
data\OR5x250-0.50_3.dat, 6.77185, 101160, 10.2458, 97390.5, 97390.5, 1.74785, 19637
data\OR5x250-0.50_4.dat, 3.62762, 105415, 10.0195, 98423.4, 98423.4, 1.76249, 20577
data\OR5x250-0.50_5.dat, 2.66077, 107774, 9.24609, 100483, 100483, 1.82452, 20446
data\OR5x250-0.50_6.dat, 7.13703, 102387, 10.1478, 99067.4, 99067.4, 1.04614, 20711
data\OR5x250-0.50_7.dat, 5.89508, 102612, 10.3511, 97753.2, 97753.2, 1.25917, 20741
data\OR5x250-0.50_8.dat, 7.808, 100528, 10.0797, 98050.9, 98050.9, 0.712516, 20411
data\OR5x250-0.50_9.dat, 4.17474, 105380, 10.3512, 98587.7, 98587.7, 1.53896, 19712
data\OR5x250-0.75_1.dat, 3.84392, 143912, 8.01225, 137673, 137673, 1.86648, 19748
data\OR5x250-0.75_10.dat, 3.70277, 148941, 8.28497, 141854, 141854, 2.26885, 19424
data\OR5x250-0.75_2.dat, 3.75648, 150086, 8.73448, 142323, 142323, 2.2903, 19324
data\OR5x250-0.75_3.dat, 1.92521, 146459, 7.10479, 138724, 138724, 2.34071, 20140
data\OR5x250-0.75_4.dat, 3.06711, 147464, 8.24887, 139581, 139581, 2.19815, 19911
data\OR5x250-0.75_5.dat, 2.28529, 146917, 8.2326, 137975, 137975, 2.7151, 20022
data\OR5x250-0.75_6.dat, 3.70356, 144488, 8.53288, 137242, 137242, 2.03377, 19968
data\OR5x250-0.75_7.dat, 3.21586, 143828, 8.7429, 135614, 135614, 1.95189, 19929
data\OR5x250-0.75_8.dat, 2.51031, 146022, 8.82823, 136559, 136559, 1.94441, 19416
data\OR5x250-0.75_9.dat, 3.66468, 149392, 8.27759, 142239, 142239, 2.16053, 19476
